hostname,ip,mac,operating_system,ram_gb,cpu_cores,department,environment,owner
srv-management-0001,10.187.48.240,40:13:13:c8:e2:97,Windows Server 2022,4,4,Management,production,Dominga Díaz Cruz
srv-operations-0002,10.143.47.71,ac:68:c8:77:96:63,Windows Server 2022,32,4,Operations,development,Marisa Mateos-Camps
srv-hr-0003,10.116.49.66,6e:3b:a2:f0:7a:07,Ubuntu Server 24.04,8,4,HR,staging,Juan Pablo Zapata Pozo
srv-it-0004,10.154.137.120,be:28:6e:6f:f7:a7,Ubuntu Server 22.04,8,2,IT,development,Godofredo Burgos Villar
srv-management-0005,10.145.196.207,e8:47:f5:f2:a4:67,Windows Server 2016,64,2,Management,testing,María Pareja Perelló
srv-management-0006,10.163.19.174,08:14:81:c1:5e:b4,Debian 12,4,8,Management,development,Aurora del Caparrós
srv-it-0007,10.247.136.114,d6:0e:af:5f:a4:37,Rocky Linux 9,64,2,IT,development,Francisco Jose Carvajal-Segarra
srv-operations-0008,10.190.135.187,c8:3c:27:63:f2:fa,Ubuntu Server 22.04,16,8,Operations,development,Marcial Garzón Cervantes
srv-management-0009,10.148.56.253,f0:8b:93:65:43:23,Rocky Linux 9,32,2,Management,staging,Celia Moreno Alba
srv-management-0010,10.184.251.148,ec:a9:a3:f7:4f:04,Ubuntu Server 24.04,8,4,Management,staging,Paulina Atienza-Bonilla
srv-finance-0011,10.65.3.43,44:15:63:bf:fe:c9,Windows Server 2016,32,2,Finance,testing,Rafael Viana Zabala
srv-operations-0012,10.183.88.147,5e:3b:95:61:32:a7,Rocky Linux 9,32,2,Operations,testing,Pánfilo Ibarra Armas
srv-management-0013,10.82.104.238,82:2d:73:10:8f:84,Ubuntu Server 22.04,8,16,Management,testing,Irma Carmona Frías
srv-management-0014,10.29.82.220,7c:44:67:0e:9a:eb,Ubuntu Server 22.04,4,8,Management,staging,Urbano Cid Sevillano
srv-it-0015,10.46.222.1,c8:5e:72:6f:1f:72,Windows Server 2016,64,8,IT,staging,Cruz Berenguer Trillo
srv-it-0016,10.231.144.53,60:4d:bc:ac:4d:3b,Windows Server 2019,16,2,IT,testing,Elena Miralles Barreda
srv-management-0017,10.254.84.251,24:fd:39:14:66:60,Ubuntu Server 22.04,2,2,Management,production,Jeremías Fuertes
srv-management-0018,10.43.211.250,6c:96:01:ac:c0:b6,Ubuntu Server 22.04,4,4,Management,production,Felisa Vizcaíno
srv-hr-0019,10.161.69.191,e8:6a:46:83:f9:c7,Windows Server 2016,4,8,HR,production,Artemio Figueroa Escribano
srv-security-0020,10.35.16.7,72:66:da:47:d5:a7,Windows Server 2022,32,8,Security,development,Jonatan Morcillo Anguita
srv-operations-0021,10.38.114.54,28:08:de:dd:e2:8d,Debian 12,64,8,Operations,production,Marc de Arroyo
srv-management-0022,10.207.10.166,1c:4f:9f:79:bd:c0,Debian 12,2,8,Management,testing,Aarón Bru Huguet
srv-hr-0023,10.86.206.215,46:e0:f9:eb:dd:ca,Windows Server 2022,2,8,HR,testing,Pastor Rivera Royo
srv-security-0024,10.31.254.238,44:29:22:db:f4:a7,Rocky Linux 9,8,16,Security,testing,Silvestre Nogueira Valls
srv-finance-0025,10.172.67.101,2e:55:fd:34:a0:22,Windows Server 2022,16,16,Finance,testing,Leopoldo Serna
srv-security-0026,10.194.126.108,24:14:1e:ee:14:7f,Windows Server 2016,8,16,Security,development,Odalis Morillo Bermúdez
srv-it-0027,10.76.9.129,8e:8d:4b:93:86:cf,Rocky Linux 9,8,4,IT,development,Azahara Acevedo-Mariscal
srv-hr-0028,10.93.191.113,3e:5b:93:a6:ad:55,Windows Server 2012,4,2,HR,staging,Diana Bertrán Soria
srv-security-0029,10.203.48.151,5a:d0:e5:b4:a4:46,Ubuntu Server 22.04,8,8,Security,development,Fito Tejedor Montenegro
srv-hr-0030,10.113.79.48,20:91:39:04:1b:ee,Ubuntu Server 22.04,2,16,HR,testing,Ismael del Ramírez
srv-management-0031,10.13.41.165,b6:99:b1:83:50:b6,Windows Server 2019,4,8,Management,staging,Íñigo de Narváez
srv-it-0032,10.224.158.42,8a:19:cf:a5:b3:77,Windows Server 2012,8,16,IT,development,Maricruz Exposito Reguera
srv-management-0033,10.165.56.34,2c:51:df:92:70:2a,Ubuntu Server 22.04,64,2,Management,testing,Oriana Alarcón Carrera
srv-management-0034,10.48.208.93,80:c8:41:5e:20:8d,Ubuntu Server 22.04,8,16,Management,development,Rosario Montesinos Tomás
srv-management-0035,10.98.122.213,a8:3b:d5:78:99:ec,Windows Server 2016,2,8,Management,testing,Arsenio Segismundo Cantón Gallardo
srv-management-0036,10.143.70.90,04:e1:f1:7f:f1:f6,Rocky Linux 9,4,16,Management,production,Máximo Tello Benavente
srv-development-0037,10.193.14.190,6c:59:24:68:f7:f8,Debian 12,4,16,Development,development,Verónica Rocamora Barco
srv-operations-0038,10.8.115.156,e4:e5:5f:6b:1a:89,Debian 12,2,16,Operations,development,Dolores Clara Plaza Luna
srv-operations-0039,10.198.95.24,da:66:eb:12:3f:76,Ubuntu Server 24.04,64,8,Operations,testing,Máxima Ariño Baños
srv-hr-0040,10.194.56.174,9c:79:81:23:9b:c0,Windows Server 2022,8,16,HR,production,Adalberto Angulo Villa
srv-security-0041,10.47.120.91,bc:2e:79:b0:6a:be,Rocky Linux 9,2,16,Security,development,Nidia Barreda Mateu
srv-hr-0042,10.60.242.94,10:53:5e:7c:30:8c,Windows Server 2012,4,4,HR,staging,Ana Belén Palacio Jordá
srv-management-0043,10.192.250.241,a8:9c:49:85:cc:7d,Rocky Linux 9,16,4,Management,production,Roberto Solé Bautista
srv-hr-0044,10.152.253.30,ae:05:40:e2:9d:01,Ubuntu Server 24.04,8,8,HR,testing,Rosalinda Céspedes Barral
srv-finance-0045,10.121.225.143,66:a3:a8:34:42:a7,Ubuntu Server 22.04,64,16,Finance,production,Raimundo Valentín Giner Verdejo
srv-finance-0046,10.15.41.186,1c:a3:a0:79:81:f3,Rocky Linux 9,2,2,Finance,development,Amaro Enríquez Molins
srv-security-0047,10.219.173.2,68:1f:f2:f4:e8:76,Windows Server 2016,8,2,Security,development,Luís Perez Salom
srv-security-0048,10.32.81.106,98:3f:2a:bb:e9:68,Rocky Linux 9,64,8,Security,development,Dimas Múñiz Girón
srv-management-0049,10.72.208.143,76:f6:1b:64:7a:33,Ubuntu Server 22.04,64,8,Management,testing,Osvaldo del Barrena
srv-hr-0050,10.124.92.76,4e:50:37:33:58:79,Windows Server 2016,8,16,HR,testing,Maxi de Peláez
srv-development-0051,10.185.196.192,42:50:71:b5:aa:cd,Debian 12,4,2,Development,testing,Macario Gabaldón Cabañas
srv-operations-0052,10.129.33.141,ae:77:e0:85:a4:81,Debian 12,64,2,Operations,production,Haydée Gutiérrez Barba
srv-finance-0053,10.118.11.46,ee:76:d3:81:51:2f,Windows Server 2022,8,8,Finance,development,Julio César Salgado
srv-development-0054,10.253.40.118,8c:39:5a:88:15:af,Ubuntu Server 24.04,4,2,Development,staging,Irene Sobrino Gabaldón
